trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
9S_1700,5743,2,"NW Logan, 1800 N","",0,426874,19493,
9S_1800,5743,2,"NW Logan, 1800 N","",0,426874,19493,
B1_0605,5723,1,BLUE LOOP,"",0,426871,19791,
B1_0605 Start,5723,1,BLUE LOOP,"",0,426871,19791,
B1_0644,5723,1,BLUE LOOP,"",0,426871,19791,
B1_0725,5723,1,BLUE LOOP,"",0,426871,19791,
B1_0811,5723,1,BLUE LOOP,"",0,426871,19791,
B1_0859,5723,1,BLUE LOOP,"",0,426871,19791,
B1_0947,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1035,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1123,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1211,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1301,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1353,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1447,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1541,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1635,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1728,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1816,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1903,5723,1,BLUE LOOP,"",0,426871,19791,
B1_1946,5723,1,BLUE LOOP,"",0,426871,19791,
